suburb,state,bedrooms,price,rent_weekly,land_sqm,source,date_checked
Coomera,QLD,4,742000,640,410,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Coomera,QLD,4,758000,655,430,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Coomera,QLD,4,731000,630,395,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Springfield,QLD,4,779000,660,440,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Springfield,QLD,4,792000,675,455,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Hope Island,QLD,4,801000,690,425,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Hope Island,QLD,4,815000,700,450,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Logan Reserve,QLD,4,715000,615,420,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Logan Reserve,QLD,5,795000,700,500,SAMPLE DATA - replace with CoreLogic export,2026-07-22
Pimpama,QLD,4,738000,635,400,SAMPLE DATA - replace with CoreLogic export,2026-07-22
